model,students,probability,time
IEPModel,194,0,1.403459ms
IEPModel,195,0,1.413333ms
IEPModel,196,0,1.252875ms
IEPModel,197,0,1.276083ms
IEPModel,198,0,1.355416ms
IEPModel,199,0,3.038792ms
IEPModel,200,0,3.027333ms
IEPModel,201,0,2.783792ms
IEPModel,202,0,2.189709ms
IEPModel,203,0,1.235958ms
IEPModel,204,0,1.256ms
IEPModel,205,0,1.242541ms
IEPModel,206,0,1.147291ms
IEPModel,207,0,1.139125ms
IEPModel,208,0,1.138542ms
IEPModel,209,0,1.191375ms
IEPModel,210,0,1.189416ms
IEPModel,211,0,1.230292ms
IEPModel,212,0,1.225833ms
IEPModel,213,0,1.218125ms
IEPModel,214,0,1.20025ms
IEPModel,215,0,1.200542ms
IEPModel,216,0,1.297375ms
IEPModel,217,0,1.210958ms
IEPModel,218,0,1.169666ms
IEPModel,219,0,1.185875ms
IEPModel,220,0,1.163166ms
IEPModel,221,0,1.124833ms
IEPModel,222,0,1.131375ms
IEPModel,223,0,1.13725ms
IEPModel,224,0,1.144625ms
IEPModel,225,0,1.143208ms
IEPModel,226,0,1.173417ms
IEPModel,227,0,1.213125ms
IEPModel,228,0,1.133542ms
IEPModel,229,0,1.121875ms
IEPModel,230,0,1.096709ms
IEPModel,231,0,1.147958ms
IEPModel,232,0,1.212541ms
IEPModel,233,0,1.254041ms
IEPModel,234,0,1.239333ms
IEPModel,235,0,1.252625ms
IEPModel,236,0,1.303084ms
IEPModel,237,0,1.284417ms
IEPModel,238,0,3.468417ms
IEPModel,239,0,3.103875ms
IEPModel,240,0,3.178917ms
IEPModel,241,0,1.920458ms
IEPModel,242,0,1.224125ms
IEPModel,243,0,1.189166ms
IEPModel,244,0,1.239792ms
IEPModel,245,0,1.191667ms
IEPModel,246,0,1.241917ms
IEPModel,247,0,1.252959ms
IEPModel,248,0,1.204417ms
IEPModel,249,0,1.258875ms
IEPModel,250,0,1.188042ms
IEPModel,251,0,1.232625ms
IEPModel,252,0,1.155458ms
IEPModel,253,0,1.198875ms
IEPModel,254,0,1.147041ms
IEPModel,255,0,1.031166ms
IEPModel,256,0,1.116167ms
IEPModel,257,0,1.115583ms
IEPModel,258,0,1.158708ms
IEPModel,259,0,1.104542ms
IEPModel,260,0,1.14075ms
IEPModel,261,0,1.117542ms
IEPModel,262,0,1.1845ms
IEPModel,263,0,1.108458ms
IEPModel,264,0,1.205167ms
IEPModel,265,0,1.120792ms
IEPModel,266,0,1.14475ms
IEPModel,267,0,1.113209ms
IEPModel,268,0,1.167875ms
IEPModel,269,0,1.112958ms
IEPModel,270,0,1.110459ms
IEPModel,271,0,1.128125ms
IEPModel,272,0,1.135042ms
IEPModel,273,0,1.1815ms
IEPModel,274,0,1.133625ms
IEPModel,275,0,1.190375ms
IEPModel,276,0,1.089167ms
IEPModel,277,0,1.194833ms
IEPModel,278,0,1.15875ms
IEPModel,279,0,1.208958ms
IEPModel,280,0,1.187833ms
IEPModel,281,0,1.342208ms
IEPModel,282,0,1.306584ms
IEPModel,283,0,1.236333ms
IEPModel,284,0,1.279167ms
IEPModel,285,0,1.2625ms
IEPModel,286,0,1.285292ms
IEPModel,287,0,1.233416ms
IEPModel,288,0,2.032083ms
IEPModel,289,0,2.7185ms
IEPModel,290,0,2.802667ms
IEPModel,291,0,2.669625ms
IEPModel,292,0,1.285542ms
IEPModel,293,0,1.599833ms
IEPModel,294,0,1.345333ms
IEPModel,295,0,10.708959ms
IEPModel,296,0,1.147917ms
IEPModel,297,0,1.169375ms
IEPModel,298,0,1.1435ms
IEPModel,299,0,1.154666ms
IEPModel,300,0,1.385959ms
IEPModel,301,0,1.443125ms
IEPModel,302,0,1.42625ms
IEPModel,303,0,1.359458ms
IEPModel,304,0,1.441ms
IEPModel,305,0,1.399667ms
IEPModel,306,0,1.389625ms
IEPModel,307,0,1.452583ms
IEPModel,308,0,2.653042ms
IEPModel,309,0,2.889958ms
IEPModel,310,0,2.928584ms
IEPModel,311,0,2.923458ms
IEPModel,312,0,1.664166ms
IEPModel,313,0,1.251583ms
IEPModel,314,0,1.229083ms
IEPModel,315,0,1.268167ms
IEPModel,316,0,1.26425ms
IEPModel,317,0,1.249333ms
IEPModel,318,0,1.243958ms
IEPModel,319,0,1.2065ms
IEPModel,320,0,1.231458ms
IEPModel,321,0,1.217625ms
IEPModel,322,0,1.235125ms
IEPModel,323,0,1.2445ms
IEPModel,324,0,1.251125ms
IEPModel,325,0,1.268875ms
IEPModel,326,0,1.293666ms
IEPModel,327,0,1.255125ms
IEPModel,328,0,1.335916ms
IEPModel,329,0,2.73375ms
IEPModel,330,0,3.020834ms
IEPModel,331,0,3.386291ms
IEPModel,332,0,1.92375ms
IEPModel,333,0,1.108417ms
IEPModel,334,0,1.194667ms
IEPModel,335,0,1.265458ms
IEPModel,336,0,1.369792ms
IEPModel,337,0,1.259458ms
IEPModel,338,0,1.162833ms
IEPModel,339,0,1.201583ms
IEPModel,340,0,1.361541ms
IEPModel,341,0,1.200041ms
IEPModel,342,0,1.179333ms
IEPModel,343,0,1.175ms
IEPModel,344,0,1.205375ms
IEPModel,345,0,1.149334ms
IEPModel,346,0,1.224125ms
IEPModel,347,0,1.209458ms
IEPModel,348,0,1.208125ms
IEPModel,349,0,1.161625ms
IEPModel,350,0,1.501333ms
IEPModel,351,0,1.282916ms
IEPModel,352,0,1.165166ms
IEPModel,353,0,1.17775ms
IEPModel,354,0,1.20475ms
IEPModel,355,0,1.443833ms
IEPModel,356,0,1.612417ms
IEPModel,357,0,1.341583ms
IEPModel,358,0,1.425334ms
IEPModel,359,0,1.369541ms
IEPModel,360,0,1.449667ms
IEPModel,361,0,1.509584ms
IEPModel,362,0,1.465458ms
IEPModel,363,0,1.442291ms
IEPModel,364,0,2.875125ms
IEPModel,365,0,3.572375ms
IEPModel,366,0,3.802042ms
IEPModel,367,0,2.100875ms
IEPModel,368,0,1.573125ms
IEPModel,369,0,1.574375ms
IEPModel,370,0,1.483666ms
IEPModel,371,0,1.485167ms
IEPModel,372,0,1.580791ms
IEPModel,373,0,1.491084ms
IEPModel,374,0,1.459375ms
IEPModel,375,0,1.584625ms
IEPModel,376,0,1.501875ms
IEPModel,377,0,1.510708ms
IEPModel,378,0,1.558375ms
IEPModel,379,0,1.523958ms
IEPModel,380,0,1.581333ms
IEPModel,381,0,1.493375ms
IEPModel,382,0,1.40425ms
IEPModel,383,0,1.330875ms
IEPModel,384,0,1.334834ms
IEPModel,385,0,1.393ms
IEPModel,386,0,1.320916ms
IEPModel,387,0,1.315625ms
IEPModel,388,0,1.343417ms
IEPModel,389,0,1.330792ms
IEPModel,390,0,1.372041ms
IEPModel,391,0,1.381583ms
IEPModel,392,0,1.397958ms
IEPModel,393,0,1.369917ms
IEPModel,394,0,1.356875ms
IEPModel,395,0,1.3865ms
IEPModel,396,0,4.537ms
IEPModel,397,0,3.996875ms
IEPModel,398,0,3.204417ms
IEPModel,399,0,1.478916ms
IEPModel,400,0,1.4675ms
IEPModel,401,0,1.4585ms
IEPModel,402,0,1.494125ms
IEPModel,403,0,1.482167ms
IEPModel,404,0,1.464292ms
IEPModel,405,0,1.4355ms
IEPModel,406,0,1.447583ms
IEPModel,407,0,1.474458ms
IEPModel,408,0,1.459125ms
IEPModel,409,0,1.452084ms
IEPModel,410,0,1.440625ms
IEPModel,411,0,1.475875ms
IEPModel,412,0,1.516375ms
IEPModel,413,0,1.535542ms
IEPModel,414,0,1.495333ms
IEPModel,415,0,1.424625ms
IEPModel,416,0,1.409917ms
IEPModel,417,0,1.454958ms
IEPModel,418,0,1.482792ms
IEPModel,419,0,1.540291ms
IEPModel,420,0,1.472542ms
IEPModel,421,0,1.545416ms
IEPModel,422,0,1.523542ms
IEPModel,423,0,1.52075ms
IEPModel,424,0,1.513125ms
IEPModel,425,0,1.525375ms
IEPModel,426,0,1.584375ms
IEPModel,427,0,1.54975ms
IEPModel,428,0,1.550542ms
IEPModel,429,0,3.305833ms
IEPModel,430,0,4.129042ms
IEPModel,431,0,3.627875ms
IEPModel,432,0,1.540209ms
IEPModel,433,0,1.539667ms
IEPModel,434,0,1.521334ms
IEPModel,435,0,1.533459ms
IEPModel,436,0,1.55075ms
IEPModel,437,0,1.583166ms
IEPModel,438,0,1.589333ms
IEPModel,439,0,1.553333ms
IEPModel,440,0,1.570292ms
IEPModel,441,0,1.555ms
IEPModel,442,0,1.522917ms
IEPModel,443,0,1.585875ms
IEPModel,444,0,1.622666ms
IEPModel,445,0,1.570375ms
IEPModel,446,0,1.574834ms
IEPModel,447,0,1.647084ms
IEPModel,448,0,1.602041ms
IEPModel,449,0,1.643458ms
IEPModel,450,0,1.629792ms
IEPModel,451,0,1.618834ms
IEPModel,452,0,1.604292ms
IEPModel,453,0,1.639917ms
IEPModel,454,0,1.684625ms
IEPModel,455,0,1.664583ms
IEPModel,456,0,1.608166ms
IEPModel,457,0,1.605ms
IEPModel,458,0,3.641833ms
IEPModel,459,0,8.284125ms
IEPModel,460,0,4.179459ms
IEPModel,461,0,2.246417ms
IEPModel,462,0,1.458708ms
IEPModel,463,0,1.414125ms
IEPModel,464,0,1.410708ms
IEPModel,465,0,1.388708ms
IEPModel,466,0,1.369625ms
IEPModel,467,0,1.35975ms
IEPModel,468,0,1.379458ms
IEPModel,469,0,1.424625ms
IEPModel,470,0,1.47675ms
IEPModel,471,0,1.425875ms
IEPModel,472,0,1.451458ms
IEPModel,473,0,1.443917ms
IEPModel,474,0,1.47725ms
IEPModel,475,0,1.438417ms
IEPModel,476,0,1.500708ms
IEPModel,477,0,1.50525ms
IEPModel,478,0,1.546958ms
IEPModel,479,0,1.442792ms
IEPModel,480,0,1.455708ms
IEPModel,481,0,1.465791ms
IEPModel,482,0,1.44475ms
IEPModel,483,0,1.498125ms
IEPModel,484,0,1.453458ms
IEPModel,485,0,1.457667ms
IEPModel,486,0,1.489ms
IEPModel,487,0,1.48475ms
IEPModel,488,0,1.503958ms
IEPModel,489,0,1.651417ms
IEPModel,490,0,1.582542ms
IEPModel,491,0,1.764417ms
IEPModel,492,0,1.661959ms
IEPModel,493,0,1.696791ms
IEPModel,494,0,1.728583ms
IEPModel,495,0,1.677375ms
IEPModel,496,0,1.615459ms
IEPModel,497,0,1.62025ms
IEPModel,498,0,1.548542ms
IEPModel,499,0,1.558667ms
IEPModel,500,0,1.534041ms
IEPModel,501,0,5.531416ms
IEPModel,502,0,4.028375ms
IEPModel,503,0,3.067208ms
IEPModel,504,0,1.560833ms
IEPModel,505,0,1.54275ms
IEPModel,506,0,1.561959ms
IEPModel,507,0,1.613375ms
IEPModel,508,0,1.594666ms
IEPModel,509,0,1.638875ms
IEPModel,510,0,1.588666ms
IEPModel,511,0,1.410959ms
IEPModel,512,0,1.464583ms
IEPModel,513,0,1.401667ms
IEPModel,514,0,1.455833ms
IEPModel,515,0,1.510541ms
IEPModel,516,0,1.51025ms
IEPModel,517,0,1.514958ms
IEPModel,518,0,1.499458ms
IEPModel,519,0,1.577ms
IEPModel,520,0,1.553917ms
IEPModel,521,0,1.589167ms
IEPModel,522,0,1.520917ms
IEPModel,523,0,1.554125ms
IEPModel,524,0,1.652625ms
IEPModel,525,0,1.604667ms
IEPModel,526,0,1.486ms
IEPModel,527,0,1.44075ms
IEPModel,528,0,1.440041ms
IEPModel,529,0,1.422ms
IEPModel,530,0,1.460792ms
IEPModel,531,0,1.421458ms
IEPModel,532,0,1.458542ms
IEPModel,533,0,1.437084ms
IEPModel,534,0,1.438041ms
IEPModel,535,0,1.421583ms
IEPModel,536,0,1.470084ms
IEPModel,537,0,1.478791ms
IEPModel,538,0,1.49125ms
IEPModel,539,0,1.485708ms
IEPModel,540,0,1.427917ms
IEPModel,541,0,1.428542ms
IEPModel,542,0,1.523333ms
IEPModel,543,0,4.97275ms
IEPModel,544,0,3.885125ms
IEPModel,545,0,3.724958ms
IEPModel,546,0,2.086958ms
IEPModel,547,0,1.680333ms
IEPModel,548,0,1.803375ms
IEPModel,549,0,1.808208ms
IEPModel,550,0,1.818875ms
IEPModel,551,0,1.786292ms
IEPModel,552,0,1.807375ms
IEPModel,553,0,1.862666ms
IEPModel,554,0,1.94725ms
IEPModel,555,0,1.816042ms
IEPModel,556,0,1.821416ms
IEPModel,557,0,1.904708ms
IEPModel,558,0,1.794041ms
IEPModel,559,0,1.767583ms
IEPModel,560,0,1.829125ms
IEPModel,561,0,1.827458ms
IEPModel,562,0,2.433417ms
IEPModel,563,0,2.326584ms
IEPModel,564,0,2.344125ms
IEPModel,565,0,2.38225ms
IEPModel,566,0,4.361ms
IEPModel,567,0,2.341875ms
IEPModel,568,0,1.854125ms
IEPModel,569,0,3.220667ms
IEPModel,570,0,1.638ms
IEPModel,571,0,2.6565ms
IEPModel,572,0,7.747375ms
IEPModel,573,0,2.216458ms
IEPModel,574,0,2.241042ms
IEPModel,575,0,3.314ms
IEPModel,576,0,4.354708ms
IEPModel,577,0,3.786041ms
IEPModel,578,0,2.861708ms
IEPModel,579,0,1.899667ms
IEPModel,580,0,1.67125ms
IEPModel,581,0,1.603875ms
IEPModel,582,0,1.610708ms
IEPModel,583,0,1.601417ms
IEPModel,584,0,1.6335ms
IEPModel,585,0,1.617167ms
IEPModel,586,0,1.601292ms
IEPModel,587,0,1.610792ms
IEPModel,588,0,1.622041ms
IEPModel,589,0,1.62975ms
IEPModel,590,0,1.63675ms
IEPModel,591,0,1.652916ms
IEPModel,592,0,1.662459ms
IEPModel,593,0,1.718833ms
IEPModel,594,0,1.644ms
IEPModel,595,0,1.689833ms
IEPModel,596,0,1.63975ms
IEPModel,597,0,1.900458ms
IEPModel,598,0,1.652208ms
IEPModel,599,0,1.558958ms
IEPModel,600,0,1.6275ms
IEPModel,601,0,1.627042ms
IEPModel,602,0,1.833208ms
IEPModel,603,0,2.0255ms
IEPModel,604,0,4.440458ms
IEPModel,605,0,4.890333ms
IEPModel,606,0,2.13175ms
IEPModel,607,0,1.661584ms
IEPModel,608,0,1.702792ms
IEPModel,609,0,1.676625ms
IEPModel,610,0,1.702792ms
IEPModel,611,0,1.690958ms
IEPModel,612,0,1.687667ms
IEPModel,613,0,1.679292ms
IEPModel,614,0,1.672625ms
IEPModel,615,0,1.682125ms
IEPModel,616,0,1.6755ms
IEPModel,617,0,1.71275ms
IEPModel,618,0,1.702ms
IEPModel,619,0,1.810459ms
IEPModel,620,0,1.909166ms
IEPModel,621,0,1.98175ms
IEPModel,622,0,1.946917ms
IEPModel,623,0,1.96725ms
IEPModel,624,0,2.011667ms
IEPModel,625,0,1.969417ms
IEPModel,626,0,2.004458ms
IEPModel,627,0,1.992ms
IEPModel,628,0,2.494917ms
IEPModel,629,0,5.045042ms
IEPModel,630,0,4.931459ms
IEPModel,631,0,2.135625ms
IEPModel,632,0,2.156667ms
IEPModel,633,0,2.14ms
IEPModel,634,0,2.12525ms
IEPModel,635,0,2.157167ms
IEPModel,636,0,2.032542ms
IEPModel,637,0,1.975625ms
IEPModel,638,0,1.932541ms
IEPModel,639,0,1.915709ms
IEPModel,640,0,1.949041ms
IEPModel,641,0,1.9165ms
IEPModel,642,0,1.933292ms
IEPModel,643,0,1.985167ms
IEPModel,644,0,2.001875ms
IEPModel,645,0,2.078083ms
IEPModel,646,0,2.004875ms
IEPModel,647,0,2.024209ms
IEPModel,648,0,2.033458ms
IEPModel,649,0,1.946167ms
IEPModel,650,0,1.940291ms
IEPModel,651,0,1.971292ms
IEPModel,652,0,5.394125ms
IEPModel,653,0,8.372792ms
IEPModel,654,0,6.1625ms
IEPModel,655,0,4.660917ms
IEPModel,656,0,5.959875ms
IEPModel,657,0,2.000959ms
IEPModel,658,0,1.992833ms
IEPModel,659,0,1.977208ms
IEPModel,660,0,2.087625ms
IEPModel,661,0,1.976667ms
IEPModel,662,0,1.988083ms
IEPModel,663,0,2.114ms
IEPModel,664,0,2.020542ms
IEPModel,665,0,2.301708ms
IEPModel,666,0,2.337125ms
IEPModel,667,0,2.403375ms
IEPModel,668,0,2.273667ms
IEPModel,669,0,1.975709ms
IEPModel,670,0,1.992666ms
IEPModel,671,0,1.929875ms
IEPModel,672,0,2.013458ms
IEPModel,673,0,1.993958ms
IEPModel,674,0,5.083125ms
IEPModel,675,0,4.5755ms
IEPModel,676,0,3.21875ms
IEPModel,677,0,2.166125ms
IEPModel,678,0,2.246292ms
IEPModel,679,0,2.254625ms
IEPModel,680,0,2.2605ms
IEPModel,681,0,2.263334ms
IEPModel,682,0,2.207583ms
IEPModel,683,0,2.176167ms
IEPModel,684,0,2.16675ms
IEPModel,685,0,2.129208ms
IEPModel,686,0,2.088167ms
IEPModel,687,0,2.243375ms
IEPModel,688,0,2.14975ms
IEPModel,689,0,2.126125ms
IEPModel,690,0,2.127625ms
IEPModel,691,0,2.167458ms
IEPModel,692,0,2.174917ms
IEPModel,693,0,2.0695ms
IEPModel,694,0,2.141875ms
IEPModel,695,0,2.055875ms
IEPModel,696,0,2.114417ms
IEPModel,697,0,2.029333ms
IEPModel,698,0,2.102792ms
IEPModel,699,0,2.044791ms
IEPModel,700,0,2.1955ms
IEPModel,701,0,2.159958ms
IEPModel,702,0,2.144042ms
IEPModel,703,0,2.074875ms
IEPModel,704,0,2.065ms
IEPModel,705,0,2.119625ms
IEPModel,706,0,2.064708ms
IEPModel,707,0,2.122125ms
IEPModel,708,0,2.105541ms
