model,students,unique_birthday_days,average_probability,num_simulations,average_time_ms
InformedModel,3401,365,0.002756,10000,1071.546500
InformedModel,3501,365,0.002756,10000,1096.912800
InformedModel,3601,365,0.002756,10000,1133.274800
InformedModel,3701,365,0.002756,10000,1138.115300
InformedModel,3801,365,0.002756,10000,1204.321700
InformedModel,3901,365,0.002756,10000,1253.862000
InformedModel,4001,365,0.002756,10000,1256.215400
InformedModel,4101,365,0.002756,10000,1300.961500
InformedModel,4201,365,0.002756,10000,1355.070600
InformedModel,4301,365,0.002756,10000,1377.896900
InformedModel,4401,365,0.002756,10000,1400.633000
InformedModel,4501,365,0.002756,10000,1448.927000
InformedModel,4601,365,0.002756,10000,1407.997000
InformedModel,4701,365,0.002756,10000,1444.120400
InformedModel,4801,365,0.002756,10000,1453.306300
InformedModel,4901,365,0.002756,10000,1494.314600
InformedModel,5001,365,0.002756,10000,1544.301700
InformedModel,5101,365,0.002756,10000,1559.482200
InformedModel,5201,365,0.002756,10000,1600.340700
InformedModel,5301,365,0.002756,10000,1680.100800
InformedModel,5401,365,0.002756,10000,1673.524600
InformedModel,5501,365,0.002756,10000,1677.600800
InformedModel,5601,365,0.002756,10000,1748.356800
InformedModel,5701,365,0.002756,10000,1737.533200
InformedModel,5801,365,0.002756,10000,1744.618900
InformedModel,5901,365,0.002756,10000,1780.273300
InformedModel,6001,365,0.002756,10000,1829.344500
InformedModel,6101,365,0.002756,10000,1847.213800
InformedModel,6201,365,0.002756,10000,1715.125600
InformedModel,6301,365,0.002756,10000,1918.811700
InformedModel,6401,365,0.002756,10000,2076.935100
InformedModel,6501,365,0.002756,10000,2001.071900
InformedModel,6601,365,0.002756,10000,1981.753500
InformedModel,6701,365,0.002756,10000,2029.920500
InformedModel,6801,365,0.002756,10000,2071.316900
InformedModel,6901,365,0.002756,10000,2173.791000
InformedModel,7001,365,0.002756,10000,2143.148000
InformedModel,7101,365,0.002756,10000,2225.835900
InformedModel,7201,365,0.002756,10000,2244.892200
InformedModel,7301,365,0.002756,10000,2187.036300
InformedModel,7401,365,0.002756,10000,2316.390200
InformedModel,7501,365,0.002756,10000,2321.375000
InformedModel,7601,365,0.002756,10000,2322.828800
InformedModel,7701,365,0.002756,10000,2165.410400
InformedModel,7801,365,0.002756,10000,2076.414000
InformedModel,7901,365,0.002756,10000,2380.227800
InformedModel,8001,365,0.002756,10000,2427.195500
InformedModel,8101,365,0.002756,10000,2394.866300
InformedModel,8201,365,0.002756,10000,2492.214600
InformedModel,8301,365,0.002756,10000,2512.575100
InformedModel,8401,365,0.002756,10000,2318.714800
